filename,from_time,to_time,from_offset,to_offset,text,title,datetime
231013_1232-converted-previously.wav.json,2023-10-13 12:32:00.000,2023-10-13 12:32:03.000,0,3000, What I'm trying to say is that the appeal is certain for so far.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:03.000,2023-10-13 12:32:07.920,3000,7920, Well you mean that communication management until like storm would be brought into the,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:07.920,2023-10-13 12:32:08.920,7920,8920, appeal process?,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:08.920,2023-10-13 12:32:10.720,8920,10720," Right, we see connection to the appeal.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:10.720,2023-10-13 12:32:14.400,10720,14400, I hope you understand there are issues of reputation and I have to deal with those in,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:14.400,2023-10-13 12:32:17.560,14400,17560, the appeal process rather than the commercial issues around settlement.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:17.560,2023-10-13 12:32:19.920,17560,19920, And then this is the appeal to defamation.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:19.920,2023-10-13 12:32:23.560,19920,23560, I believe that the application we can proceed with for defamation.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:23.560,2023-10-13 12:32:28.320,23560,28320," Yeah, I'll investigate it to what we have as written evidence of what we do not have.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:28.320,2023-10-13 12:32:30.920,28320,30920," Okay, great. I'm thankful for you to do that.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:30.920,2023-10-13 12:32:32.080,30920,32080, Absolutely.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:32.080,2023-10-13 12:32:33.480,32080,33480," Evidence is important, you know,",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:33.480,2023-10-13 12:32:37.760,33480,37760," and if you understand what a party question has after a program,",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:37.760,2023-10-13 12:32:39.280,37760,39280, it's a process.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:39.280,2023-10-13 12:32:43.680,39280,43680, And there is a great possibility of definition to everybody's services like this.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:43.680,2023-10-13 12:32:45.120,43680,45120, Exactly.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:45.120,2023-10-13 12:32:47.000,45120,47000, I hope you feel that I've been listening to.,converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:47.000,2023-10-13 12:32:48.920,47000,48920," Yeah, absolutely. Thank you.",converted-previously.wav,2023-10-13 12:32:00
231013_1232-converted-previously.wav.json,2023-10-13 12:32:48.920,2023-10-13 12:32:52.720,48920,52720, What I've also noted down from this is that there are a number of other people,converted-previously.wav,2023-10-13 12:32:00
